Date,Year,Site,Treatment,Cluster,Structure,Replicate,Quad_Size_m2,Mussel_Count,Barnacle_Count,Notes
10/30/2019,2019,0,Gabion Cage,2,1,1,0.04,30,142,
10/30/2019,2019,0,Gabion Cage,2,2,1,0.04,22,52,
10/30/2019,2019,0,Gabion Cage,2,3,1,0.04,22,112,
10/30/2019,2019,0,Gabion Cage,2,4,1,0.04,19,298,
10/30/2019,2019,0,Gabion Cage,2,1,2,0.04,33,113,
10/30/2019,2019,0,Gabion Cage,2,2,2,0.04,20,125,
10/30/2019,2019,0,Gabion Cage,2,3,2,0.04,23,200,
10/30/2019,2019,0,Gabion Cage,2,4,2,0.04,16,245,
10/30/2019,2019,1,Gabion Cage,1,1,1,0.04,10,269,
10/30/2019,2019,1,Gabion Cage,1,2,1,0.04,9,202,
10/30/2019,2019,1,Gabion Cage,1,3,1,0.04,19,148,
10/30/2019,2019,1,Gabion Cage,1,4,1,0.04,8,287,
10/30/2019,2019,1,Gabion Cage,1,1,2,0.04,20,252,
10/30/2019,2019,1,Gabion Cage,1,2,2,0.04,18,258,
10/30/2019,2019,1,Gabion Cage,1,3,2,0.04,23,209,
10/30/2019,2019,1,Gabion Cage,1,4,2,0.04,14,248,
10/30/2019,2019,1,Gabion Cage,2,1,1,0.04,16,184,
10/30/2019,2019,1,Gabion Cage,2,2,1,0.04,8,137,
10/30/2019,2019,1,Gabion Cage,2,1,2,0.04,7,98,
10/30/2019,2019,1,Gabion Cage,2,2,2,0.04,17,143,
10/30/2019,2019,8,Gabion Cage,2,1,1,0.04,10,45,
10/30/2019,2019,8,Gabion Cage,2,2,1,0.04,15,400,
10/30/2019,2019,8,Gabion Cage,2,3,1,0.04,8,436,
10/30/2019,2019,8,Gabion Cage,2,4,1,0.04,10,256,
10/30/2019,2019,8,Gabion Cage,2,1,2,0.04,9,355,
10/30/2019,2019,8,Gabion Cage,2,2,2,0.04,15,274,
10/30/2019,2019,8,Gabion Cage,2,3,2,0.04,10,307,
10/30/2019,2019,8,Gabion Cage,2,4,2,0.04,11,368,
10/30/2019,2019,0,Reef Ball,1,1,1,0.04,55,44,3/4 sample
10/30/2019,2019,0,Reef Ball,1,2,1,0.04,35,41,3/4 sample
10/30/2019,2019,0,Reef Ball,1,3,1,0.04,12,200,3/4 sample
10/30/2019,2019,0,Reef Ball,1,4,1,0.04,7,21,3/4 sample
10/30/2019,2019,0,Reef Ball,1,1,2,0.04,55,45,3/4 sample
10/30/2019,2019,0,Reef Ball,1,3,2,0.04,63,11,1/8 of sample missing
10/30/2019,2019,0,Reef Ball,1,4,2,0.04,89,64,
10/30/2019,2019,0,Reef Ball,1,1,3,0.04,62,36,< 1/8 of sample missing
10/30/2019,2019,0,Reef Ball,1,2,3,0.04,50,63,3/4 sample
10/30/2019,2019,0,Reef Ball,1,3,3,0.04,26,53,3/4/sample
10/30/2019,2019,0,Reef Ball,1,4,3,0.04,26,16,
10/30/2019,2019,0,Reef Ball,1,1,4,0.04,42,55,< 1/8 of sample missing
10/30/2019,2019,0,Reef Ball,1,2,4,0.04,36,55,1/2 sample
