Date,Year,Site,Treatment,Cluster,Structure,Replicate,Method,Area_m2,Oyster_Count,Mean_Oyster_Shell_Height_mm
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,0.04,86,32.94
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,0.04,76,35.86
10/2/2019,2019,0,Gabion Cage,2,2,1,Quadrat,0.04,63,38.18
10/2/2019,2019,0,Gabion Cage,2,2,2,Quadrat,0.04,42,40.05
10/2/2019,2019,0,Gabion Cage,2,3,1,Quadrat,0.04,59,37.12
10/2/2019,2019,0,Gabion Cage,2,3,2,Quadrat,0.04,64,35.2
10/2/2019,2019,0,Gabion Cage,2,4,1,Quadrat,0.04,77,37.46
10/2/2019,2019,0,Gabion Cage,2,4,2,Quadrat,0.04,76,39.64
10/2/2019,2019,1,Gabion Cage,1,1,1,Quadrat,0.04,9,42.4
10/2/2019,2019,1,Gabion Cage,1,1,2,Quadrat,0.04,22,15.7
10/2/2019,2019,1,Gabion Cage,1,2,1,Quadrat,0.04,3,36
10/2/2019,2019,1,Gabion Cage,1,2,2,Quadrat,0.04,9,38.8
10/2/2019,2019,1,Gabion Cage,1,3,1,Quadrat,0.04,7,39.1
10/2/2019,2019,1,Gabion Cage,1,3,2,Quadrat,0.04,7,32.6
10/2/2019,2019,1,Gabion Cage,1,4,1,Quadrat,0.04,3,8.7
10/2/2019,2019,1,Gabion Cage,1,4,2,Quadrat,0.04,6,40.7
10/1/2019,2019,1,Gabion Cage,2,1,1,Quadrat,0.04,9,39.3
10/1/2019,2019,1,Gabion Cage,2,1,2,Quadrat,0.04,13,41
10/1/2019,2019,1,Gabion Cage,2,2,1,Quadrat,0.04,9,44.3
10/1/2019,2019,1,Gabion Cage,2,2,2,Quadrat,0.04,6,49.3
10/29/2019,2019,1,Gabion Cage,2,3,1,Quadrat,0.04,24,31.8
10/29/2019,2019,1,Gabion Cage,2,3,2,Quadrat,0.04,17,31.3
10/29/2019,2019,1,Gabion Cage,2,4,1,Quadrat,0.04,18,26.7
10/29/2019,2019,1,Gabion Cage,2,4,2,Quadrat,0.04,12,22.6
10/29/2019,2019,8,Gabion Cage,1,1,1,Quadrat,0.04,47,19.4
10/29/2019,2019,8,Gabion Cage,1,1,2,Quadrat,0.04,60,19.9
10/29/2019,2019,8,Gabion Cage,1,2,1,Quadrat,0.04,48,23.1
10/29/2019,2019,8,Gabion Cage,1,2,2,Quadrat,0.04,20,22.7
10/29/2019,2019,8,Gabion Cage,1,3,1,Quadrat,0.04,28,18.1
10/29/2019,2019,8,Gabion Cage,1,3,2,Quadrat,0.04,36,25.9
10/29/2019,2019,8,Gabion Cage,1,4,1,Quadrat,0.04,19,21.2
10/29/2019,2019,8,Gabion Cage,1,4,2,Quadrat,0.04,32,19.3
9/30/2019,2019,8,Gabion Cage,2,1,1,Quadrat,0.04,15,21.8
9/30/2019,2019,8,Gabion Cage,2,1,2,Quadrat,0.04,3,13
9/30/2019,2019,8,Gabion Cage,2,2,1,Quadrat,0.04,11,31.5
9/30/2019,2019,8,Gabion Cage,2,2,2,Quadrat,0.04,7,36.1
9/30/2019,2019,8,Gabion Cage,2,3,1,Quadrat,0.04,21,31.9
9/30/2019,2019,8,Gabion Cage,2,3,2,Quadrat,0.04,17,29.6
9/30/2019,2019,8,Gabion Cage,2,4,1,Quadrat,0.04,8,42.9
9/30/2019,2019,8,Gabion Cage,2,4,2,Quadrat,0.04,14,32.1
10/2/2019,2019,0,Reef Ball,1,1,1,Quadrat,0.04,33,47.5
10/2/2019,2019,0,Reef Ball,1,1,2,Quadrat,0.04,21,46
10/2/2019,2019,0,Reef Ball,1,1,3,Quadrat,0.04,31,50.1
10/2/2019,2019,0,Reef Ball,1,1,4,Quadrat,0.04,40,48.9
10/2/2019,2019,0,Reef Ball,1,2,1,Quadrat,0.04,9,41.3
10/2/2019,2019,0,Reef Ball,1,2,2,Quadrat,0.04,14,39.4
10/2/2019,2019,0,Reef Ball,1,2,3,Quadrat,0.04,14,40.5
10/2/2019,2019,0,Reef Ball,1,2,4,Quadrat,0.04,26,47.2
10/2/2019,2019,0,Reef Ball,1,3,1,Quadrat,0.04,11,46.5
10/2/2019,2019,0,Reef Ball,1,3,2,Quadrat,0.04,4,50.5
10/2/2019,2019,0,Reef Ball,1,3,3,Quadrat,0.04,18,42
10/2/2019,2019,0,Reef Ball,1,3,4,Quadrat,0.04,29,45.9
10/2/2019,2019,0,Reef Ball,1,4,1,Quadrat,0.04,16,44
10/2/2019,2019,0,Reef Ball,1,4,2,Quadrat,0.04,23,48.6
10/2/2019,2019,0,Reef Ball,1,4,3,Quadrat,0.04,14,41.6
10/2/2019,2019,0,Reef Ball,4,1,4,Quadrat,0.04,52,47.6
10/1/2019,2019,1,Reef Ball,1,1,1,Whole Structure - Inside & Outside,2.7,14,29.2
10/1/2019,2019,1,Reef Ball,1,2,1,Whole Structure - Inside & Outside,2.7,33,34.2
10/1/2019,2019,1,Reef Ball,1,3,1,Whole Structure - Inside & Outside,2.7,67,28.9
10/1/2019,2019,1,Reef Ball,1,4,1,Whole Structure - Inside & Outside,2.7,59,33.4
10/1/2019,2019,1,Reef Ball,2,1,1,Whole Structure - Inside & Outside,2.7,37,34.95
10/1/2019,2019,1,Reef Ball,2,2,1,Whole Structure - Inside & Outside,2.7,24,34.63
10/1/2019,2019,1,Reef Ball,2,3,1,Whole Structure - Inside & Outside,2.7,67,32.68
10/1/2019,2019,1,Reef Ball,2,4,1,Whole Structure - Inside & Outside,2.7,67,38.46
10/1/2019,2019,1,Reef Ball,3,1,1,Whole Structure - Inside & Outside,2.7,33,39.12
10/1/2019,2019,1,Reef Ball,3,2,1,Whole Structure - Inside & Outside,2.7,79,33.36
10/1/2019,2019,1,Reef Ball,3,3,1,Whole Structure - Inside & Outside,2.7,52,38.6
10/1/2019,2019,1,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,43,27
10/1/2019,2019,1,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,47,25.7
10/2/2019,2019,1,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,32,40
10/2/2019,2019,1,Reef Ball,4,2,1,Whole Structure - Inside & Outside,2.7,40,27.5
10/1/2019,2019,1,Reef Ball,4,3,1,Whole Structure - Inside & Outside,2.7,37,33.9
10/1/2019,2019,1,Reef Ball,4,4,1,Whole Structure - Inside & Outside,2.7,31,33.2
9/30/2019,2019,8,Reef Ball,1,1,1,Whole Structure - Inside & Outside,2.7,7,42.29
9/29/2019,2019,8,Reef Ball,1,2,1,Whole Structure - Inside & Outside,2.7,36,26.1
9/29/2019,2019,8,Reef Ball,1,3,1,Whole Structure - Inside & Outside,2.7,54,19
9/29/2019,2019,8,Reef Ball,1,4,1,Whole Structure - Inside & Outside,2.7,56,18.1
9/29/2019,2019,8,Reef Ball,1,5,1,Whole Structure - Inside & Outside,2.7,32,20.3
9/29/2019,2019,8,Reef Ball,2,1,1,Whole Structure - Inside & Outside,2.7,51,21.3
9/29/2019,2019,8,Reef Ball,2,2,1,Whole Structure - Inside & Outside,2.7,45,20.4
9/29/2019,2019,8,Reef Ball,2,3,1,Whole Structure - Inside & Outside,2.7,50,24.3
9/29/2019,2019,8,Reef Ball,2,4,1,Whole Structure - Inside & Outside,2.7,28,22.4
9/30/2019,2019,8,Reef Ball,3,2,1,Whole Structure - Inside & Outside,2.7,25,49
9/30/2019,2019,8,Reef Ball,3,3,1,Whole Structure - Inside & Outside,2.7,17,14.5
9/30/2019,2019,8,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,22,17.2
9/30/2019,2019,8,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,22,16.6
9/29/2019,2019,8,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,56,16.1
9/29/2019,2019,8,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,27,13.4
9/29/2019,2019,8,Reef Ball,4,2,1,Whole Structure - Inside & Outside,2.7,44,15.9
9/29/2019,2019,8,Reef Ball,4,3,1,Whole Structure - Inside & Outside,2.7,42,17.3
10/6/2020,2020,0,Gabion Cage,1,1,1,N/A,N/A,N/A,N/A
10/6/2020,2020,0,Gabion Cage,1,2,1,Quadrat,0.04,116,31.52
10/6/2020,2020,0,Gabion Cage,1,2,1,Quadrat,0.04,96,36.66
10/6/2020,2020,0,Gabion Cage,1,2,2,Quadrat,0.04,65,33.58
10/6/2020,2020,0,Gabion Cage,1,2,2,Quadrat,0.04,105,28.56
10/6/2020,2020,0,Gabion Cage,1,3,1,Quadrat,0.04,123,35.4
10/6/2020,2020,0,Gabion Cage,1,3,2,Quadrat,0.04,151,38.2
10/6/2020,2020,0,Gabion Cage,1,4,1,Quadrat,0.04,94,33.28
10/6/2020,2020,0,Gabion Cage,1,4,2,Quadrat,0.04,160,29.28
10/6/2020,2020,1,Gabion Cage,1,1,1,Quadrat,0.04,100,27.26
10/6/2020,2020,1,Gabion Cage,1,1,2,Quadrat,0.04,69,25
10/6/2020,2020,1,Gabion Cage,1,1,2,Quadrat,0.04,43,23.28
10/6/2020,2020,1,Gabion Cage,1,2,1,Quadrat,0.04,62,27.2
10/6/2020,2020,1,Gabion Cage,1,3,1,Quadrat,0.04,92,27.92
10/6/2020,2020,1,Gabion Cage,1,3,2,Quadrat,0.04,43,26.16
10/6/2020,2020,1,Gabion Cage,1,4,1,Quadrat,0.04,31,29.52
10/6/2020,2020,1,Gabion Cage,1,4,2,Quadrat,0.04,47,27.21
10/6/2020,2020,1,Gabion Cage,2,1,1,Quadrat,0.04,81,21.92
10/6/2020,2020,1,Gabion Cage,2,1,2,Quadrat,0.04,98,21.04
10/6/2020,2020,1,Gabion Cage,2,2,1,Quadrat,0.04,78,24.26
10/6/2020,2020,1,Gabion Cage,2,2,2,Quadrat,0.04,93,23.4
