Date,Year,Site,Treatment,Cluster,Structure,Replicate,Method,Oyster_Shell_Height_mm
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,36
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,26
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,14
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,28
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,35
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,28
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,23
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,61
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,14
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,32
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,19
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,69
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,46
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,9
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,24
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,11
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,43
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,37
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,50
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,33
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,26
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,28
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,26
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,46
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,34
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,36
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,29
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,40
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,39
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,27
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,29
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,42
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,15
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,22
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,48
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,25
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,35
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,23
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,45
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,36
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,54
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,36
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,26
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,45
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,37
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,39
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,22
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,28
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,38
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,40
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,48
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,39
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,52
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,21
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,34
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,38
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,41
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,62
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,42
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,20
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,54
